2023-03-16 15:09:26,298 - INFO - Rank 0 | Client Args: Namespace(dataset='./dist/repgnn_data/ogbn_arxiv128/', num_gpu=1, sampling='10-10', hidden_size=256, n_classes=60, batch_size=8000, dropout=0.2, lr=0.03, weight_decay=0, model_name='gcn', epoch=1, num_worker=1, cache_size=0, ckpt_path='/dev/shm', seed=None, log=True, dist_url='tcp://10.214.242.140:23456', world_size=2, rank=0, gpu=0, grpc_port='10.214.242.140:18110', distributed=True)
2023-03-16 15:09:27,068 - INFO - Rank 0 | Added key: store_based_barrier_key:1 to store for rank: 0
2023-03-16 15:09:27,069 - INFO - Rank 0 | Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 2 nodes.
2023-03-16 15:09:27,069 - INFO - Rank 0 | Using 2 distributed GPUs in total for training...
2023-03-16 15:09:32,755 - INFO - Rank 0 | n_sub_batches:55049
2023-03-16 15:09:34,998 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:35,468 - INFO - Rank 0 | Reducer buckets have been rebuilt in this iteration.
2023-03-16 15:09:35,525 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:36,010 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:36,542 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:37,033 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:37,533 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,024 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,489 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:38,953 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:39,474 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:39,984 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:40,488 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:40,965 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:41,430 - INFO - Rank 0 | rank: 0 sub_batch backward done.
2023-03-16 15:09:41,455 - INFO - Rank 0 | Epoch miss rate ( miss_num/try_num ) for epoch 0 on rank 0: 282043 / 1203356 = 0.23438034962222318
2023-03-16 15:09:41,456 - INFO - Rank 0 | Up to now, total_local_feats_gather_time = 0.338 s, total_remote_feats_gather_time = 2.215 s
2023-03-16 15:09:41,457 - INFO - Rank 0 | => cur_epoch 0 finished on rank 0
2023-03-16 15:09:45,280 - INFO - Rank 0 | -------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         AddmmBackward0         0.04%       3.821ms         0.34%      30.101ms     716.690us       4.590ms         0.05%      32.012ms     762.190us            42  
                                          aten::reshape         0.21%      18.260ms         0.41%      36.767ms     110.411us      20.573ms         0.23%      27.669ms      83.090us           333  
                                           aten::linear         0.03%       2.812ms         0.21%      18.968ms     451.619us       3.035ms         0.03%      24.203ms     576.262us            42  
autograd::engine::evaluate_function: torch::autograd...         0.08%       6.780ms         0.29%      25.531ms     303.940us       9.719ms         0.11%      23.890ms     284.405us            84  
                               Optimizer.step#Adam.step         0.12%      10.721ms         0.27%      23.939ms       3.420ms      13.573ms         0.15%      23.885ms       3.412ms             7  
                                       aten::zeros_like         0.06%       5.082ms         0.24%      21.657ms     225.594us       6.889ms         0.08%      20.732ms     215.958us            96  
                                            fetch label         0.03%       2.752ms         0.23%      20.164ms       1.440ms       3.412ms         0.04%      19.955ms       1.425ms            14  
                                          aten::dropout         0.02%       2.177ms         0.19%      17.308ms     412.095us       2.011ms         0.02%      19.246ms     458.238us            42  
                                               aten::mm         0.09%       8.000ms         0.14%      12.464ms     178.057us      19.181ms         0.22%      19.181ms     274.014us            70  
                                            aten::empty         0.18%      16.406ms         0.38%      33.585ms      31.155us      18.777ms         0.21%      18.777ms      17.418us          1078  
                                       aten::as_strided         0.15%      13.693ms         0.37%      32.654ms      28.102us      17.882ms         0.20%      17.882ms      15.389us          1162  
                                   aten::_fused_dropout         0.06%       5.114ms         0.16%      14.533ms     346.024us      10.282ms         0.12%      17.235ms     410.357us            42  
                                            aten::addmm         0.08%       6.939ms         0.13%      11.351ms     270.262us      15.001ms         0.17%      16.938ms     403.286us            42  
                                       aten::empty_like         0.08%       7.358ms         0.21%      18.805ms      84.707us       9.627ms         0.11%      16.643ms      74.968us           222  
                                                aten::t         0.06%       5.497ms         0.25%      21.826ms     111.357us       6.507ms         0.07%      16.058ms      81.929us           196  
                                    aten::empty_strided         0.14%      12.066ms         0.23%      20.839ms      40.386us      15.855ms         0.18%      15.855ms      30.727us           516  
                                asign frame to nodeflow         0.15%      12.936ms         0.17%      15.452ms     275.929us      13.815ms         0.16%      14.609ms     260.875us            56  
                                           aten::unbind         0.07%       6.616ms         0.16%      14.443ms       1.032ms       7.606ms         0.09%      14.262ms       1.019ms            14  
                                            aten::zero_         0.06%       5.646ms         0.21%      18.476ms      41.149us       6.550ms         0.07%      13.205ms      29.410us           449  
                                     train data prepare         0.14%      12.819ms         0.14%      12.851ms      12.851ms      12.841ms         0.14%      12.846ms      12.846ms             1  
autograd::engine::evaluate_function: FusedDropoutBac...         0.01%       1.094ms         0.13%      11.785ms     420.893us     872.000us         0.01%      11.965ms     427.321us            28  
                                  FusedDropoutBackward0         0.01%     759.000us         0.12%      10.212ms     364.714us       3.729ms         0.04%      11.093ms     396.179us            28  
                                 sync for each sub_iter         0.12%      10.596ms         0.12%      10.982ms     784.429us      10.748ms         0.12%      10.862ms     775.857us            14  
                                        aten::transpose         0.05%       4.189ms         0.15%      13.716ms      69.980us       5.575ms         0.06%       9.551ms      48.730us           196  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     915.000us         0.09%       8.086ms     288.786us     389.000us         0.00%       8.664ms     309.429us            28  
                                          ReluBackward0         0.01%     819.000us         0.08%       6.700ms     239.286us     780.000us         0.01%       8.275ms     295.536us            28  
                                        aten::clamp_min         0.04%       3.749ms         0.10%       9.005ms      91.888us       4.117ms         0.05%       8.106ms      82.714us            98  
                        torch::autograd::AccumulateGrad         0.02%       1.899ms         0.10%       9.209ms     109.631us       3.078ms         0.03%       7.922ms      94.310us            84  
                                            aten::fill_         0.08%       7.242ms         0.10%       9.217ms      83.791us       7.855ms         0.09%       7.855ms      71.409us           110  
                               aten::threshold_backward         0.05%       4.480ms         0.06%       5.480ms     195.714us       7.495ms         0.08%       7.495ms     267.679us            28  
                                              aten::cat         0.02%       1.627ms         0.09%       7.654ms     546.714us       1.804ms         0.02%       7.487ms     534.786us            14  
                                    aten::_masked_scale         0.05%       4.580ms         0.10%       8.982ms     320.786us       4.488ms         0.05%       7.364ms     263.000us            28  
                                        aten::new_empty         0.04%       3.215ms         0.10%       8.583ms      76.634us       4.020ms         0.05%       7.325ms      65.402us           112  
                                   aten::_reshape_alias         0.08%       6.803ms         0.13%      11.129ms      33.420us       7.096ms         0.08%       7.096ms      21.309us           333  
                                              aten::div         0.04%       3.614ms         0.07%       6.158ms      54.982us       6.962ms         0.08%       6.962ms      62.161us           112  
                                             aten::item         0.05%       4.736ms         0.09%       7.778ms      92.595us       5.777ms         0.07%       6.749ms      80.345us            84  
                                           aten::select         0.05%       4.736ms         0.09%       7.641ms      90.964us       5.776ms         0.07%       6.656ms      79.238us            84  
        autograd::engine::evaluate_function: TBackward0         0.01%       1.094ms         0.08%       7.266ms     173.000us       1.715ms         0.02%       6.642ms     158.143us            42  
                                             aten::add_         0.05%       4.313ms         0.09%       7.932ms      48.963us       6.120ms         0.07%       6.120ms      37.778us           162  
                               aten::cross_entropy_loss         0.01%     587.000us         0.06%       5.432ms     388.000us     671.000us         0.01%       6.068ms     433.429us            14  
                                             aten::_cat         0.03%       2.741ms         0.07%       5.844ms     417.429us       3.272ms         0.04%       5.683ms     405.929us            14  
autograd::engine::evaluate_function: NllLossBackward...         0.01%     907.000us         0.07%       6.257ms     446.929us     946.000us         0.01%       5.511ms     393.643us            14  
                                              aten::sum         0.04%       3.371ms         0.07%       6.001ms     142.881us       5.231ms         0.06%       5.231ms     124.548us            42  
                                             TBackward0         0.01%     706.000us         0.06%       5.476ms     130.381us       1.340ms         0.02%       4.927ms     117.310us            42  
                                              aten::mul         0.04%       3.380ms         0.07%       5.909ms      70.345us       4.711ms         0.05%       4.711ms      56.083us            84  
                                       NllLossBackward0         0.01%     532.000us         0.05%       4.778ms     341.286us     591.000us         0.01%       4.565ms     326.071us            14  
                                aten::nll_loss_backward         0.01%       1.091ms         0.05%       3.997ms     285.500us       2.230ms         0.03%       3.974ms     283.857us            14  
                                      aten::nll_loss_nd         0.00%     300.000us         0.04%       3.194ms     228.143us     322.000us         0.00%       3.916ms     279.714us            14  
                                             aten::relu         0.02%       1.332ms         0.07%       6.468ms     231.000us     104.000us         0.00%       3.692ms     131.857us            28  
                                         aten::nll_loss         0.00%     305.000us         0.03%       2.817ms     201.214us     331.000us         0.00%       3.594ms     256.714us            14  
                                         create sampler         0.04%       3.323ms         0.04%       3.425ms       3.425ms       3.369ms         0.04%       3.420ms       3.420ms             1  
                                            aten::clamp         0.02%       1.928ms         0.04%       3.629ms      86.405us       2.209ms         0.02%       3.345ms      79.643us            42  
                                 aten::nll_loss_forward         0.01%     783.000us         0.03%       2.433ms     173.786us       3.124ms         0.04%       3.263ms     233.071us            14  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.01%     487.000us         0.04%       3.118ms     222.714us     698.000us         0.01%       2.912ms     208.000us            14  
                                         aten::new_ones         0.01%       1.250ms         0.07%       6.627ms     157.786us     460.000us         0.01%       2.814ms      67.000us            42  
                                             aten::ones         0.02%       2.169ms         0.06%       4.998ms     119.000us       1.208ms         0.01%       2.354ms      56.048us            42  
                                    LogSoftmaxBackward0         0.01%     445.000us         0.03%       2.395ms     171.071us     675.000us         0.01%       2.214ms     158.143us            14  
                                           aten::narrow         0.01%     767.000us         0.02%       2.182ms     155.857us     947.000us         0.01%       2.024ms     144.571us            14  
                                             aten::mul_         0.02%       1.451ms         0.03%       2.708ms      32.238us       2.022ms         0.02%       2.022ms      24.071us            84  
                                           aten::expand         0.02%       1.412ms         0.03%       2.221ms      52.881us       1.684ms         0.02%       1.937ms      46.119us            42  
                       aten::_log_softmax_backward_data         0.01%     718.000us         0.02%       1.736ms     124.000us       1.539ms         0.02%       1.539ms     109.929us            14  
                                        aten::ones_like         0.01%     493.000us         0.02%       1.612ms     115.143us     662.000us         0.01%       1.508ms     107.714us            14  
                                      aten::log_softmax         0.01%     549.000us         0.02%       1.570ms     112.143us     727.000us         0.01%       1.481ms     105.786us            14  
                                             aten::sqrt         0.01%     953.000us         0.02%       1.557ms      37.071us       1.234ms         0.01%       1.234ms      29.381us            42  
                                         aten::addcmul_         0.01%     797.000us         0.02%       1.412ms      33.619us       1.082ms         0.01%       1.082ms      25.762us            42  
                                         aten::addcdiv_         0.01%     775.000us         0.02%       1.400ms      33.333us       1.045ms         0.01%       1.045ms      24.881us            42  
                              aten::_local_scalar_dense         0.01%     899.000us         0.02%       1.930ms      22.976us     972.000us         0.01%     972.000us      11.571us            84  
                                          aten::resize_         0.01%     755.000us         0.02%       1.591ms      22.729us     913.000us         0.01%     913.000us      13.043us            70  
                                     aten::resolve_conj         0.01%     851.000us         0.02%       1.938ms      23.071us     913.000us         0.01%     913.000us      10.869us            84  
                                      aten::resolve_neg         0.01%     790.000us         0.02%       1.825ms      21.726us     837.000us         0.01%     837.000us       9.964us            84  
                aten::_has_compatible_shallow_copy_type         0.01%     695.000us         0.02%       1.533ms      27.375us     706.000us         0.01%     706.000us      12.607us            56  
                                             aten::view         0.01%     933.000us         0.02%       1.573ms      37.452us     687.000us         0.01%     687.000us      16.357us            42  
                                     aten::_log_softmax         0.01%     495.000us         0.01%     762.000us      54.429us     675.000us         0.01%     675.000us      48.214us            14  
                                           aten::detach         0.00%     434.000us         0.01%     704.000us     117.333us     526.000us         0.01%     631.000us     105.167us             6  
                                             aten::set_         0.00%     286.000us         0.01%     511.000us      31.938us     305.000us         0.00%     305.000us      19.062us            16  
                                                 detach         0.00%     101.000us         0.00%     191.000us      31.833us     105.000us         0.00%     105.000us      17.500us             6  
                                          aten::detach_         0.00%      18.000us         0.00%      34.000us      34.000us      22.000us         0.00%      29.000us      29.000us             1  
                                                detach_         0.00%       7.000us         0.00%      12.000us      12.000us       7.000us         0.00%       7.000us       7.000us             1  
                                        cudaEventCreate         0.59%      52.645ms         0.59%      52.645ms       2.536us       0.000us         0.00%       0.000us       0.000us         20756  
                                        cudaEventRecord         1.05%      93.395ms         1.05%      93.395ms       4.469us       0.000us         0.00%       0.000us       0.000us         20898  
                                  cudaStreamIsCapturing         0.00%     165.000us         0.00%     165.000us       2.619us       0.000us         0.00%       0.000us       0.000us            63  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.879s
Self CUDA time total: 8.868s

2023-03-16 15:09:45,280 - INFO - Rank 0 | wait sampler total time: 0.2779512405395508, total sub_iters: 14, avg sub_iter time:0.01985366003853934
